user_id,complaint_id,complaint_process_id,admin_id,total_complaints,sum_verification,sum_onprogress,sum_resolved,sum_rejected,sum_deleted,sum_public,sum_private,process_time,user_rejected_complaints,user_resolved_complaints,last_complaints
1,C-81j9aK9280,1,1,53,17,12,5,1,0,26,27,0.0,0,1,C-edn9f1d4d1
1,C-8kshis9280,2,1,53,17,12,5,1,0,26,27,0.0,0,1,C-edn9f1d4d1
1,C-8kshis9280,3,2,53,17,12,5,1,0,26,27,0.0,0,1,C-edn9f1d4d1
1,C-8kshis9280,4,2,53,17,12,5,1,0,26,27,0.0,0,1,C-edn9f1d4d1
1,C-8kshis9280,5,2,53,17,12,5,1,0,26,27,0.0,0,1,C-edn9f1d4d1
2,C-81jas92581,6,1,53,17,12,5,1,0,26,27,0.0,0,0,C-a1bxc3d4e5
2,C-81jas92581,7,3,53,17,12,5,1,0,26,27,0.0,0,0,C-a1bxc3d4e5
3,C-123j9ak280,11,1,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
3,C-123j9ak280,12,4,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
3,C-1947d78044,16,1,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
3,C-271j9ak280,8,1,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
3,C-271j9ak280,9,3,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
3,C-271j9ak280,10,3,53,17,12,5,1,0,26,27,0.0,1,0,C-9876543210
4,C-2dd95e75d8,13,1,53,17,12,5,1,0,26,27,0.0,0,1,C-edcrfvgt9hb
4,C-d965289620,15,1,53,17,12,5,1,0,26,27,0.0,0,1,C-edcrfvgt9hb
4,C-edcr37gt9hb,168,3,53,17,12,5,1,0,26,27,0.0,0,1,C-edcrfvgt9hb
4,C-edcr37gt9hb,169,3,53,17,12,5,1,0,26,27,0.0,0,1,C-edcrfvgt9hb
4,C-edcr37gt9hb,170,3,53,17,12,5,1,0,26,27,0.0,0,1,C-edcrfvgt9hb
5,C-8a708ab9d5,14,1,53,17,12,5,1,0,26,27,0.0,0,0,C-9ijnhyg6tf
5,C-9ijnhyg6tf,171,1,53,17,12,5,1,0,26,27,0.0,0,0,C-9ijnhyg6tf
14,C-poiuytrewqx,140,2,53,17,12,5,1,0,26,27,0.0,0,1,C-qwertyuiop1
14,C-poiuytrewqx,141,2,53,17,12,5,1,0,26,27,0.0,0,1,C-qwertyuiop1
15,C-poiuyt11xx,142,2,53,17,12,5,1,0,26,27,0.0,0,1,C-poiuyt11xx
