id,description,address,type,total_likes,created_at,updated_at,deleted_at
C-004e1b5bea,Lorem ipsum dolor sit amet lorem ipsum dolor sit amet lorem ipsum dolor sit amet lorem ipsum dolor sit amet lorem ipsum dolor sit amet,"Jl. pemuda no 31, RT. 04 RW. 05, Lorem ipsum, Indonesia",public,0,2024-06-12 08:13:51.185,2024-06-12 08:13:51.185,
C-0f7f47cea3,coba guys,"Latitude: -6.857435960103596, Longitude: 109.15024463227965",Publik,0,2024-06-12 16:32:25.833,2024-06-12 16:32:25.833,
C-123j9ak280,"Lorem ipsum dolor sit amet, consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Jl. lorem ipsum No. 1 RT 01 RW 01, Kelurahan Lorem Ipsum, Kecamatan Lorem Ipsum, Kota Lorem Ipsum, Provinsi Lorem Ipsum",public,0,2024-06-12 15:09:17.693,2024-06-12 15:09:17.693,
C-145066eb25,vgvghvghj,"Latitude: 37.785834, Longitude: -122.406417",Private,0,2024-06-12 16:25:54.634,2024-06-12 16:25:54.634,
C-271j9ak280,"Lorem ipsum dolor sit amet, consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Jl. lorem ipsum No. 1 RT 01 RW 01, Kelurahan Lorem Ipsum, Kecamatan Lorem Ipsum, Kota Lorem Ipsum, Provinsi Lorem Ipsum",public,1,2024-06-12 15:09:17.693,2024-06-12 15:09:17.693,
C-3d6694e23c,"kgsktxkhxkg kgxg
xg
zmgxmghhhxc
cdhf
dh
dy
dy
dhdh
dh
dh
dh
dh
dh
dhd
",hrsjtzmgxxmg,Publik,0,2024-06-12 16:35:27.084,2024-06-12 16:35:27.084,
C-7ac4ad0127,coba,"Latitude: 37.785834, Longitude: -122.406417",Publik,0,2024-06-12 16:26:12.683,2024-06-12 16:26:12.683,
C-81j9aK9280,"Lorem ipsum dolor sit amet, consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Jl. lorem ipsum No. 1 RT 01 RW 01, Kelurahan Lorem Ipsum, Kecamatan Lorem Ipsum, Kota Lorem Ipsum, Provinsi Lorem Ipsum",public,3,2024-06-12 15:09:17.693,2024-06-12 15:09:17.693,
C-81jas92581,"Lorem ipsum dolor sit amet, consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Jl. lorem ipsum No. 1 RT 01 RW 01, Kelurahan Lorem Ipsum, Kecamatan Lorem Ipsum, Kota Lorem Ipsum, Provinsi Lorem Ipsum",private,2,2024-06-12 15:09:17.693,2024-06-12 15:09:17.693,
C-83901c5e1d,fdsadf,"Latitude: 37.785834, Longitude: -122.406417",Publik,0,2024-06-12 08:44:08.832,2024-06-12 08:44:08.832,
C-893e519acc,fdsafsd,"Latitude: 37.785834, Longitude: -122.406417",Publik,0,2024-06-12 08:16:43.632,2024-06-12 08:16:43.632,
C-8ksh&s9280,"Lorem ipsum dolor sit amet, consectetur adipiscing elit sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Jl. lorem ipsum No. 1 RT 01 RW 01, Kelurahan Lorem Ipsum, Kecamatan Lorem Ipsum, Kota Lorem Ipsum, Provinsi Lorem Ipsum",private,2,2024-06-12 15:09:17.693,2024-06-12 13:32:16.435,
C-cafdc19358,fdsafsd,"Latitude: 37.785834, Longitude: -122.406417",Publik,1,2024-06-12 08:16:21.130,2024-06-12 14:13:00.815,
